Experience_Years,Training_Hours_Monthly,Projects_Completed,Attendance_Percent,Performance_Score
6,12,9,80.67,94.07
19,32,18,80.9,100.0
14,4,23,84.01,100.0
10,36,20,70.73,100.0
7,13,15,75.33,100.0
20,26,7,82.13,100.0
6,22,30,97.68,100.0
18,13,1,85.71,100.0
10,39,22,73.32,100.0
10,3,24,60.42,100.0
20,38,6,99.27,100.0
3,18,18,79.72,100.0
7,46,6,97.54,100.0
2,3,14,81.97,85.51
20,29,7,84.22,100.0
1,18,13,88.48,100.0
11,30,0,72.84,69.33
5,30,28,87.96,100.0
1,8,12,81.07,82.85
20,12,2,86.9,95.83
0,13,20,93.43,100.0
11,45,27,67.37,100.0
11,9,5,84.54,98.79
16,47,18,62.08,100.0
9,30,14,64.08,96.94
15,36,3,86.98,100.0
14,22,20,62.84,100.0
14,26,30,83.81,100.0
18,5,2,68.8,76.52
11,25,3,72.16,84.55
19,1,4,65.19,74.25
2,44,17,69.95,100.0
4,12,25,92.85,100.0
18,50,24,85.56,100.0
6,49,9,97.99,100.0
20,18,7,61.95,94.6
8,0,11,91.7,93.11
6,39,21,87.96,100.0
17,31,25,70.44,100.0
3,21,26,89.17,100.0
13,47,2,88.66,96.32
17,28,26,78.37,100.0
8,1,17,87.55,100.0
20,39,22,77.78,100.0
1,37,7,73.42,74.15
19,47,25,78.66,100.0
14,10,0,95.81,78.88
6,16,13,75.38,100.0
11,50,30,76.15,100.0
7,42,21,84.34,100.0
14,7,22,90.12,100.0
2,21,30,89.38,100.0
13,3,12,60.79,74.16
16,10,24,87.5,100.0
3,7,11,78.02,84.62
17,8,2,80.96,93.55
7,25,17,82.47,100.0
3,1,20,89.27,100.0
1,15,12,93.25,99.69
5,30,14,85.85,100.0
9,5,9,82.56,83.19
3,20,0,74.95,60.65
17,25,28,65.52,100.0
11,18,5,98.34,100.0
1,27,8,78.47,87.69
9,7,9,82.65,89.28
3,13,14,90.04,100.0
13,23,8,62.74,78.5
15,47,22,94.2,100.0
14,43,13,91.88,100.0
7,36,10,90.98,100.0
13,25,6,60.88,72.66
7,30,30,81.06,100.0
20,50,23,62.17,100.0
15,31,25,82.03,100.0
12,49,29,88.74,100.0
17,40,1,64.87,66.36
14,1,13,87.8,100.0
20,24,5,77.98,100.0
12,43,4,92.46,100.0
8,1,4,81.34,76.32
14,41,28,73.44,100.0
12,0,18,73.28,100.0
0,35,18,95.9,100.0
6,11,5,78.11,87.8
8,8,27,76.23,100.0
0,35,25,61.59,100.0
11,40,28,74.57,100.0
7,27,9,93.99,100.0
10,37,22,90.44,100.0
18,32,13,68.84,100.0
16,41,16,76.52,100.0
7,45,29,67.86,100.0
2,21,2,98.17,82.31
2,24,27,83.92,100.0
0,17,0,90.17,56.85
4,5,9,88.55,89.59
9,17,2,94.95,86.31
6,15,4,97.97,91.22
8,14,24,61.3,100.0
6,47,18,99.01,100.0
8,7,9,94.82,98.11
7,12,29,75.32,100.0
11,42,25,93.48,100.0
1,6,24,89.46,100.0
0,16,15,91.72,100.0
